2025.12.10 03:29:25 - OnInit() started
2025.12.10 03:29:25 - === 开始计算神龙通道指标 ===
2025.12.10 03:29:25 - 数据总数: 2119, 先前计算: 0
2025.12.10 03:29:25 - 当前时间: 2025.12.10 00:00, 计算范围: 0-1970
2025.12.10 03:29:26 - SELL | Time=2024.11.07 20:00:00, g116_0=2652.855376, g116_1=2655.852880, g120_0=2705.994880, g120_1=2709.075856, slld0_0=2756.594107, slld8_0=2687.673841, low_0=2687.070000, low_1=2689.400000, high_0=2709.440000, high_1=2700.110000
2025.12.10 03:29:26 - SELL | Time=2024.11.08 12:00:00, g116_0=2639.463248, g116_1=2643.032272, g120_0=2692.019504, g120_1=2695.728352, slld0_0=2755.204626, slld8_0=2683.740970, low_0=2685.740000, low_1=2680.330000, high_0=2703.720000, high_1=2691.580000
2025.12.10 03:29:26 - SELL | Time=2024.11.11 08:00:00, g116_0=2619.984720, g116_1=2624.054800, g120_0=2671.878768, g120_1=2676.070288, slld0_0=2752.163915, slld8_0=2679.550621, low_0=2661.110000, low_1=2666.970000, high_0=2675.120000, high_1=2674.170000
2025.12.10 03:29:26 - CLOSE-SELL | Time=2024.11.11 16:00:00, g116_0=2611.947744, g116_1=2615.865632, g120_0=2663.236464, g120_1=2667.624128, slld0_0=2750.723298, slld8_0=2677.421635, low_0=2610.410000, low_1=2617.540000, high_0=2625.850000, high_1=2666.800000
2025.12.10 03:29:26 - CLOSE-SELL | Time=2024.11.12 08:00:00, g116_0=2597.394096, g116_1=2600.818896, g120_0=2647.054992, g120_1=2650.872960, slld0_0=2746.359372, slld8_0=2672.430050, low_0=2589.690000, low_1=2603.250000, high_0=2609.210000, high_1=2623.530000
2025.12.10 03:29:26 - CLOSE-SELL | Time=2024.11.13 20:00:00, g116_0=2572.411696, g116_1=2574.612112, g120_0=2620.884544, g120_1=2623.247296, slld0_0=2731.871419, slld8_0=2656.540784, low_0=2572.310000, low_1=2577.410000, high_0=2584.690000, high_1=2606.600000
2025.12.10 03:29:26 - SELL | Time=2024.11.22 00:00:00, g116_0=2631.884704, g116_1=2631.172544, g120_0=2680.761136, g120_1=2679.341168, slld0_0=2681.203873, slld8_0=2608.183001, low_0=2667.920000, low_1=2667.600000, high_0=2686.200000, high_1=2673.250000
2025.12.10 03:29:26 - SELL | Time=2024.11.25 12:00:00, g116_0=2628.176736, g116_1=2629.162656, g120_0=2681.819520, g120_1=2682.640608, slld0_0=2686.807753, slld8_0=2612.979310, low_0=2633.410000, low_1=2663.650000, high_0=2688.220000, high_1=2677.610000
2025.12.10 03:29:26 - BUY | Time=2024.11.25 16:00:00, g116_0=2627.248368, g116_1=2628.176736, g120_0=2680.755600, g120_1=2681.819520, slld0_0=2687.786765, slld8_0=2613.171862, low_0=2615.400000, low_1=2633.410000, high_0=2641.470000, high_1=2688.220000
2025.12.10 03:29:26 - SELL | Time=2024.11.29 04:00:00, g116_0=2620.979264, g116_1=2620.600528, g120_0=2663.356880, g120_1=2663.675104, slld0_0=2688.499741, slld8_0=2608.749249, low_0=2654.600000, low_1=2633.860000, high_0=2665.870000, high_1=2662.560000
2025.12.10 03:29:26 - BUY | Time=2024.12.02 04:00:00, g116_0=2622.761968, g116_1=2622.473664, g120_0=2662.562848, g120_1=2662.630656, slld0_0=2687.562106, slld8_0=2608.937359, low_0=2621.570000, low_1=2622.770000, high_0=2631.030000, high_1=2651.060000
2025.12.10 03:29:26 - BUY | Time=2024.12.05 16:00:00, g116_0=2626.952256, g116_1=2626.399856, g120_0=2666.202960, g120_1=2665.402496, slld0_0=2683.078699, slld8_0=2610.098676, low_0=2623.350000, low_1=2639.690000, high_0=2643.150000, high_1=2654.280000
2025.12.10 03:29:26 - BUY | Time=2024.12.06 00:00:00, g116_0=2628.630784, g116_1=2627.731712, g120_0=2668.294960, g120_1=2667.127616, slld0_0=2682.601852, slld8_0=2610.238758, low_0=2613.110000, low_1=2627.780000, high_0=2633.670000, high_1=2632.180000
